Title,Price,Location,Bedrooms,Bathrooms,Land Area,Building Area,Agent Name,URL,Price per Bedroom,Cost per Bedroom,Area per Bedroom
Kostan Aktif Strategis 2 Lantai Lingkungan Nyaman Siap Huni Di Sukapura Bandung,850.0,"Kiaracondong, Bandung",9.0,5.0,66.0,136.0,Yovie Fame,"<a href=""https://www.rumah123.com/properti/bandung/kss1696/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss1696/</a>",1.574074074074074,94.44444444444444,15.11111111111111
Dijual Murah Rumah Kost 12 Kamar Strategis Sukajadi Bandung,850.0,"Sukajadi, Bandung",12.0,4.0,123.0,200.0,Marta Tri Sulistianingrum,"<a href=""https://www.rumah123.com/properti/bandung/kss11575/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss11575/</a>",1.1805555555555556,70.83333333333333,16.666666666666668
Jual Rumah Hitung Tanah Paskal di Dalam Gang Cocok Bangun Kost,850.0,"Cicendo, Bandung",3.0,1.0,118.0,70.0,Christianto TS,"<a href=""https://www.rumah123.com/properti/bandung/kss3177/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss3177/</a>",4.722222222222222,283.3333333333333,23.333333333333332
"Dijual Kos an Aktif, 2 Lt Dekat Kampus Univ Telkom Bandung . .",850.0,"Terusan Buah Batu, Bandung",7.0,7.0,60.0,120.0,Teti Hartiyati,"<a href=""https://www.rumah123.com/properti/bandung/kss393/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss393/</a>",2.0238095238095237,121.42857142857143,17.142857142857142
"Rumah Kost Siap Huni Lokasi Strategis di Cibiru Indah I, Bandung",900.0,"Cibiru, Bandung",8.0,8.0,100.0,200.0,Dedi,"<a href=""https://www.rumah123.com/properti/bandung/kss16258/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss16258/</a>",1.875,112.5,25.0
Rumah Kos Kost Turangga Sayap Buah Batu Sebelah Griya Yogya,900.0,"Turangga, Bandung",10.0,2.0,68.0,125.0,Fred SAP,"<a href=""https://www.rumah123.com/properti/bandung/kss8715/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss8715/</a>",1.5,90.0,12.5
Dijual Cepat Rumah Kost Sayap Buah Batu Bandung,900.0,"Buah Batu, Bandung",10.0,2.0,68.0,125.0,Riva Maroza,"<a href=""https://www.rumah123.com/properti/bandung/kss8471/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss8471/</a>",1.5,90.0,12.5
Sebuah Rumah Kost Kawasan Regol Dijual Dengan Harga Bagus.,900.0,"Regol, Bandung",8.0,4.0,85.0,170.0,rusmana,"<a href=""https://www.rumah123.com/properti/bandung/kss7365/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss7365/</a>",1.875,112.5,21.25
Rumah Kost Kawasan Regol Masuk Motor,900.0,"Regol, Bandung",8.0,4.0,85.0,170.0,Dharono trisawego,"<a href=""https://www.rumah123.com/properti/bandung/kss2165/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss2165/</a>",1.875,112.5,21.25
Kosan Murah Kokoh 3 Lt di Ciumbuleuit Bandung Dekat Kampus Kantor,900.0,"Ciumbuleuit, Bandung",14.0,5.0,135.0,250.0,Raymond Sutomo,"<a href=""https://www.rumah123.com/properti/bandung/kss6770/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss6770/</a>",1.0714285714285714,64.28571428571429,17.857142857142858
Kosan Murah Berkualitas 3 Lantai Strategis di Ciumbuleuit Bandung,900.0,"Ciumbuleuit, Bandung",14.0,5.0,135.0,250.0,Tinneke S,"<a href=""https://www.rumah123.com/properti/bandung/kss6270/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss6270/</a>",1.0714285714285714,64.28571428571429,17.857142857142858
Kosan Murah Kokoh 3 Lt di Ciumbuleuit Bandung Dekat Kampus Kantor,900.0,"Ciumbuleuit, Bandung",14.0,5.0,135.0,250.0,Raymond Sutomo,"<a href=""https://www.rumah123.com/properti/bandung/kss6770/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss6770/</a>",1.0714285714285714,64.28571428571429,17.857142857142858
Kosan 3 Lantai Murah Berkualitas Strategis di Ciumbuleuit Bandung,900.0,"Ciumbuleuit, Bandung",14.0,5.0,135.0,250.0,Johan Hariawan,"<a href=""https://www.rumah123.com/properti/bandung/kss6246/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss6246/</a>",1.0714285714285714,64.28571428571429,17.857142857142858
Kosan Nyaman Minimalis di Area Moch Ramdan,900.0,"BKR, Bandung",8.0,4.0,85.0,170.0,elly abidin,"<a href=""https://www.rumah123.com/properti/bandung/kss2770/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss2770/</a>",1.875,112.5,21.25
Kosan Murah Berkualitas Strategis 3Lantai di Ciumbuleuit Bandung,900.0,"Ciumbuleuit, Bandung",14.0,5.0,135.0,250.0,Tinneke Septiani Hidayat,"<a href=""https://www.rumah123.com/properti/bandung/kss6117/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss6117/</a>",1.0714285714285714,64.28571428571429,17.857142857142858
"Kost Kamar Mandi didalam, Ada Parkiran Motor di Pameuntasan",900.0,"Kutawaringin, Bandung",8.0,8.0,140.0,180.0,Jackson Yap,"<a href=""https://www.rumah123.com/properti/bandung/kss4131/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss4131/</a>",1.875,112.5,22.5
Kosan Murah Jual Bu Strategis di Ciumbuleuit Bandung,900.0,"Ciumbuleuit, Bandung",14.0,5.0,135.0,250.0,Lily Deviani,"<a href=""https://www.rumah123.com/properti/bandung/kss6516/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss6516/</a>",1.0714285714285714,64.28571428571429,17.857142857142858
Sebuah Rumah Kost Kawasan Regol Dijual Dengan Harga Bagus.,900.0,"Regol, Bandung",8.0,4.0,85.0,170.0,Erlan Maulana,"<a href=""https://www.rumah123.com/properti/bandung/kss9016/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss9016/</a>",1.875,112.5,21.25
Kost Aktif Murah Bawah Harga Pasar Sayap Sudirman Sebrang Cijerah,924.0,"Andir, Bandung",14.0,14.0,148.0,240.0,Iwan Kurnia,"<a href=""https://www.rumah123.com/properti/bandung/kss10110/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss10110/</a>",1.1,66.0,17.142857142857142
Dijual Lelang Rumah Kost 2 Lantai 14 Kamar di Maleber Andir,924.0,"Andir, Bandung",14.0,14.0,148.0,240.0,SONY,"<a href=""https://www.rumah123.com/properti/bandung/kss10925/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss10925/</a>",1.1,66.0,17.142857142857142
Rumah Kost Murah Strategis di Gang Sayap Buah Batu Bandung,950.0,"Terusan Buah Batu, Bandung",10.0,2.0,68.0,125.0,lilly,"<a href=""https://www.rumah123.com/properti/bandung/kss17402/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss17402/</a>",1.5833333333333335,95.0,12.5
Rumah Dan Kostan Siap Lanjutkan di Nata Endah Kopo,950.0,"Kopo, Bandung",5.0,2.0,89.0,120.0,Jerry Moses Karamoy,"<a href=""https://www.rumah123.com/properti/bandung/kss13220/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss13220/</a>",3.166666666666667,190.0,24.0
Dijual Kosan Full Terisi Area Mekar Wangi Moh Toha Bandung,970.0,"Regol, Bandung",12.0,12.0,142.0,280.0,Glory's Property,"<a href=""https://www.rumah123.com/properti/bandung/kss15011/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss15011/</a>",1.3472222222222223,80.83333333333333,23.333333333333332
Rumah Kost Toha,970.0,"Moch Toha, Bandung",12.0,12.0,142.0,280.0,Dharono trisawego,"<a href=""https://www.rumah123.com/properti/bandung/kss11535/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss11535/</a>",1.3472222222222223,80.83333333333333,23.333333333333332
Jual Cepat Bu Kontrakan Atau Kos 12 Kamar Area Mekarwangi,970.0,"Mekar Wangi, Bandung",12.0,12.0,142.0,280.0,Adityo,"<a href=""https://www.rumah123.com/properti/bandung/kss15616/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss15616/</a>",1.3472222222222223,80.83333333333333,23.333333333333332
Kos 8kt Dkt Unpad Itb Jatinangor,990.0,"Jatinangor, Bandung",8.0,8.0,135.0,120.0,yudie kurniawan,"<a href=""https://www.rumah123.com/properti/bandung/kss2034/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss2034/</a>",2.0625,123.75,15.0
Kos 12kt Dkt Universitas di Cikutra Bandung,999.0,"Cikutra, Bandung",13.0,4.0,98.0,160.0,yudie kurniawan,"<a href=""https://www.rumah123.com/properti/bandung/kss2032/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss2032/</a>",1.2807692307692309,76.84615384615384,12.307692307692308
Kos Gg Unpar,999.0,"Cidadap, Bandung",9.0,2.0,70.0,140.0,Tanu Widjojo,"<a href=""https://www.rumah123.com/properti/bandung/kss10099/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss10099/</a>",1.8500000000000003,111.0,15.555555555555555
Murah Rumah Kost di Sayap Ciumbuleuit Kota Bandung SHM 8 Kt,999.0,"Ciumbuleuit, Bandung",8.0,4.0,126.0,180.0,Depina,"<a href=""https://www.rumah123.com/properti/bandung/kss783/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss783/</a>",2.0812500000000003,124.875,22.5
Rumah Kost Astananyar Masuk Motor,1000.0,"Astanaanyar, Bandung",12.0,12.0,119.0,240.0,Dharono trisawego,"<a href=""https://www.rumah123.com/properti/bandung/kss17260/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss17260/</a>",1.388888888888889,83.33333333333333,20.0
"Kost 2 Lantai 18 Kamar di Kiaracondong, Bandung SHM",1000.0,"Kiaracondong, Bandung",18.0,3.0,135.0,270.0,andra yani,"<a href=""https://www.rumah123.com/properti/bandung/kss10160/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss10160/</a>",0.925925925925926,55.55555555555556,15.0
"Rumah Dan Kosan Aktif 3,5 Lantai Strategis di Pajajaran Bandung",1000.0,"Pajajaran, Bandung",14.0,5.0,66.0,180.0,Siska silviana,"<a href=""https://www.rumah123.com/properti/bandung/kss13315/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss13315/</a>",1.1904761904761905,71.42857142857143,12.857142857142858
